Running for 300.0 seconds (30 samples at 10.0 second intervals).
Power measurements will start in 180 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
11:32:15   0.0   0.0   0.1  99.9   0.0    1    256     11    0    0    0   1.32
11:32:25   0.0   0.0   0.0  99.9   0.0    1    251      9    0    0    0   1.32
11:32:35   0.1   0.0   0.1  99.9   0.0    1    255     10    0    0    0   1.32
11:32:45   0.0   0.0   0.1  99.9   0.0    1    257     10    0    0    0   1.32
11:32:55   0.0   0.0   0.1  99.9   0.0    1    257     11    0    0    0   1.32
11:33:05   0.0   0.0   0.0  99.9   0.0    1    257     10    0    0    0   1.32
11:33:15   0.0   0.0   0.1  99.9   0.0    1    276     20    2    0    0   1.54
11:33:25   0.0   0.0   0.0  99.9   0.0    1    260     13    0    0    2   1.54
11:33:35   0.0   0.0   0.0  99.9   0.0    1    257     10    0    0    0   1.54
11:33:45   0.0   0.0   0.1  99.9   0.0    1    277     16    2    0   10   1.54
11:33:55   0.8   0.0   0.6  98.2   0.4    1   1796    417    3    2    9   1.54
11:34:05   2.0   0.0   1.5  95.7   0.7    1   3032    936  192   58  185   1.54
11:34:15   1.8   0.0   0.9  97.1   0.2    2   1838    324    2    1    2   1.54
11:34:25   1.7   0.0   1.8  96.0   0.6    2   3109    769  140   38  136   1.54
11:34:35   6.2   0.0   2.8  89.6   1.4    2   4276   1725  235  106  229   1.54
11:34:45   4.4   0.0   1.2  93.8   0.7    1   2701   1212   21   21   19   1.54
11:34:55   0.2   0.0   0.3  99.5   0.0    1    414     75   38   38   38   1.54
11:35:05   0.2   0.0   0.2  99.6   0.0    1    421     78   39   39   39   1.54
11:35:15   0.1   0.0   0.3  99.6   0.0    1    433     80   40   38   40   1.57
11:35:25   0.3   0.0   0.2  99.5   0.0    1    419     76   39   39   39   1.57
11:35:35   0.3   0.0   0.2  99.5   0.0    1    404     72   38   38   38   1.57
11:35:45   0.2   0.0   0.3  99.5   0.0    1    413     75   39   39   39   1.57
11:35:55   0.3   0.0   0.2  99.6   0.0    1    414     72   38   38   38   1.57
11:36:05   0.2   0.0   0.3  99.6   0.0    1    413     74   39   39   39   1.57
11:36:15   0.2   0.0   0.2  99.6   0.0    1    414     74   38   38   38   1.57
11:36:25   0.3   0.0   0.2  99.6   0.0    2    410     75   39   39   38   1.57
11:36:35   0.2   0.0   0.3  99.6   0.0    1    419     80   39   38   39   1.57
11:36:45   0.2   0.0   0.1  99.6   0.0    1    408     72   38   38   38   1.57
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
11:36:55   0.2   0.0   0.3  99.5   0.0    1    410     76   39   39   39   1.57
11:37:05   0.3   0.0   0.1  99.6   0.0    1    406     72   38   38   38   1.57
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------
 Average   0.7   0.0   0.4  98.8   0.1  1.1  838.4  218.5 37.9 25.5 37.7   1.51
 GeoMean   0.2   0.0   0.2  98.8   0.0  1.1  514.6   64.3  0.0  0.0  0.0   1.50
  StdDev   1.4   0.0   0.6   2.2   0.3  0.3 1049.4  401.6 54.7 24.3 52.9   0.09
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------
 Minimum   0.0   0.0   0.0  89.6   0.0  1.0  250.7    9.4  0.0  0.0  0.0   1.32
 Maximum   6.2   0.0   2.8  99.9   1.4  2.0 4276.3 1725.3 235.0 106.0 229.0   1.57
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------
Summary:
System:   1.51 Watts on average with standard deviation 0.09
bavi@AcerNB:~$
