procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2810692   2820 272388    0    0    17     7    7   37  0  0 99  0  0
 0  0      0 2810692   2820 272388    0    0     0     0   67  405  0  0 100  0  0
 0  0      0 2810692   2820 272388    0    0     0     0   69  406  0  0 99  0  0
 0  0      0 2810440   2820 272388    0    0     0     0   64  394  0  0 100  0  0
 0  0      0 2810440   2820 272388    0    0     0     0   64  393  0  0 100  0  0
 0  0      0 2810440   2820 272388    0    0     0     0   68  402  0  0 100  0  0
 0  0      0 2810440   2820 272388    0    0     0     0   62  399  0  0 100  0  0
 0  0      0 2812508   2820 272388    0    0     0     0   53  376  0  0 100  0  0
 0  0      0 2812508   2820 272388    0    0     0     0   64  399  0  0 100  0  0
 0  0      0 2812508   2820 272388    0    0     0     0   66  394  0  0 100  0  0
 0  0      0 2812704   2820 272388    0    0     0     0   69  407  0  0 100  0  0
 0  0      0 2812512   2820 272388    0    0     0     0   66  409  0  0 100  0  0
 0  0      0 2812512   2820 272388    0    0     0     0   62  391  0  0 100  0  0
 0  0      0 2812512   2820 272388    0    0     0     0   67  393  0  0 100  0  0
 0  0      0 2812260   2820 272388    0    0     0     0   54  379  0  0 100  0  0
 0  0      0 2812708   2820 272388    0    0     0     0   65  395  0  0 100  0  0
 0  0      0 2812764   2820 272388    0    0     0     0   68  404  0  0 100  0  0
 0  0      0 2812764   2820 272388    0    0     0     0   68  408  0  0 100  0  0
 0  0      0 2810736   2820 272388    0    0     0     0   63  396  0  0 100  0  0
 0  0      0 2810484   2820 272388    0    0     0     0   67  395  0  0 100  0  0
 0  0      0 2810484   2820 272388    0    0     0     0   64  404  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2810484   2820 272388    0    0     0     0   57  388  0  0 100  0  0
 0  0      0 2810484   2820 272388    0    0     0     0   67  390  0  0 100  0  0
 0  0      0 2810452   2820 272388    0    0     0     0   67  408  0  0 100  0  0
 0  0      0 2810452   2820 272388    0    0     0     0   70  405  0  0 100  0  0
 0  0      0 2810452   2820 272388    0    0     0     0   65  404  0  0 100  0  0
 0  0      0 2810452   2820 272388    0    0     0     0   62  380  0  0 100  0  0
 0  0      0 2810452   2820 272388    0    0     0     0   64  388  0  0 100  0  0
 0  0      0 2812520   2820 272388    0    0     0     0   67  402  0  0 99  0  0
 0  0      0 2812520   2820 272388    0    0     0     0   51  358  0  0 100  0  0
 0  0      0 2812268   2820 272388    0    0     0     0   95  604  0  0 99  0  0
 0  0      0 2812268   2820 272388    0    0     0     0   68  398  0  0 100  0  0
 0  0      0 2812268   2820 272388    0    0     0     0   64  389  0  0 100  0  0
 0  0      0 2812268   2820 272388    0    0     0     0   75  418  0  1 99  0  0
 0  0      0 2812268   2820 272388    0    0     0     0   68  398  0  0 100  0  0
 2  0      0 2812268   2820 272388    0    0     0     0   54  375  0  0 100  0  0
 0  0      0 2812268   2820 272388    0    0     0     0   63  379  0  0 100  0  0
 0  0      0 2812016   2820 272388    0    0     0     0   64  403  0  0 100  0  0
 0  0      0 2809988   2820 272388    0    0     0     0   71  420  0  0 100  0  0
 0  0      0 2809988   2820 272388    0    0     0     0   64  397  0  0 100  0  0
 0  0      0 2809988   2820 272388    0    0     0     0   66  400  0  0 100  0  0
 0  0      0 2809988   2820 272388    0    0     0     0   62  400  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2809736   2820 272388    0    0     0     0   69  401  0  0 100  0  0
 0  0      0 2809736   2820 272388    0    0     0     0   52  368  0  0 100  0  0
 0  0      0 2809736   2820 272388    0    0     0     0   68  405  0  0 100  0  0
 0  0      0 2809736   2820 272388    0    0     0     0   64  393  0  0 100  0  0
 0  0      0 2809736   2820 272388    0    0     0     0   67  395  0  0 100  0  0
 0  0      0 2809736   2820 272388    0    0     0     0   64  392  0  0 99  0  0
 0  0      0 2809500   2820 272388    0    0     0     0   65  390  0  0 100  0  0
 0  0      0 2809500   2820 272388    0    0     0     0   70  533  0  0 100  0  0
 0  0      0 2809500   2820 272388    0    0     0     0   50  372  0  0 100  0  0
 0  0      0 2811568   2820 272388    0    0     0     0   67  400  0  0 100  0  0
 0  0      0 2811512   2820 272388    0    0     0     0   64  393  0  0 100  0  0
 0  0      0 2811512   2820 272388    0    0     0     0   72  409  0  0 99  0  0
 0  0      0 2811512   2820 272388    0    0     0     0   64  405  0  0 100  0  0
 0  0      0 2813576   2820 272388    0    0     0     0   65  407  0  0 99  0  0
 0  0      0 2813576   2820 272388    0    0     0     0   62  387  0  0 100  0  0
 0  0      0 2813576   2820 272388    0    0     0     0   66  399  0  0 100  0  0
 0  0      0 2811280   2820 272388    0    0     0     0   50  363  0  0 100  0  0
 0  0      0 2813332   2820 272388    0    0     0     0   63  394  0  0 100  0  0
 0  0      0 2813332   2820 272388    0    0     0     0   70  404  0  0 100  0  0
 0  0      0 2813332   2820 272388    0    0     0     0   66  403  0  0 100  0  0
 0  0      0 2813332   2820 272388    0    0     0     0   66  397  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2813332   2820 272388    0    0     0     0   67  406  0  0 100  0  0
 0  0      0 2813080   2820 272388    0    0     0     0   61  375  0  0 100  0  0
 0  0      0 2813080   2820 272388    0    0     0     0   51  359  0  0 100  0  0
 0  0      0 2813080   2820 272388    0    0     0     0   62  397  0  0 100  0  0
 0  0      0 2813080   2820 272388    0    0     0     0   65  385  0  0 100  0  0
 0  0      0 2813336   2820 272388    0    0     0     0   63  391  0  0 100  0  0
 0  0      0 2813092   2820 272388    0    0     0     0   66  407  0  0 100  0  0
 0  0      0 2813092   2820 272388    0    0     0     0   63  399  0  0 100  0  0
 0  0      0 2813092   2820 272388    0    0     0     0   62  401  0  0 100  0  0
 0  0      0 2813092   2820 272388    0    0     0     0   53  355  0  0 100  0  0
 0  0      0 2813092   2820 272388    0    0     0     0   61  393  0  0 100  0  0
 0  0      0 2813092   2820 272388    0    0     0     0   66  411  0  0 100  0  0
 0  0      0 2812840   2820 272388    0    0     0     0   65  393  0  0 100  0  0
 0  0      0 2812840   2820 272388    0    0     0     0   66  393  0  0 100  0  0
 0  0      0 2812840   2820 272388    0    0     0     0   68  405  0  0 99  0  0
 0  0      0 2812840   2820 272388    0    0     0     0   65  383  0  0 99  0  0
 2  0      0 2812848   2820 272388    0    0     0     0   64  399  0  0 100  0  0
 0  0      0 2812596   2820 272388    0    0     0     0   52  375  0  0 100  0  0
 0  0      0 2812596   2820 272388    0    0     0     0   68  407  0  0 99  0  0
 0  0      0 2812564   2820 272388    0    0     0     0   63  393  0  0 100  0  0
 0  0      0 2812564   2820 272388    0    0     0     0   67  393  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2812564   2820 272388    0    0     0     0   68  405  0  0 99  0  0
 0  0      0 2812312   2820 272388    0    0     0     0   68  401  0  0 100  0  0
 0  0      0 2812312   2820 272388    0    0     0     0   62  399  0  0 100  0  0
 0  0      0 2812312   2820 272388    0    0     0     0   48  359  0  0 100  0  0
 0  0      0 2812312   2820 272388    0    0     0     0   62  393  0  0 100  0  0
 0  0      0 2810268   2820 272388    0    0     0     0   73  418  0  0 100  0  0
 0  0      0 2810268   2820 272388    0    0     0     0   65  404  0  0 100  0  0
 0  0      0 2811828   2820 272388    0    0     0     0   66  412  0  0 100  0  0
 0  0      0 2811828   2820 272388    0    0     0     0   69  401  0  0 99  0  0
 0  0      0 2812276   2828 272388    0    0     0    36  107  494  0  0 99  0  0
 1  0      0 2812276   2828 272388    0    0     0     0   54  368  0  0 100  0  0
 0  0      0 2812332   2828 272388    0    0     0     0   64  394  0  0 100  0  0
 0  0      0 2812332   2828 272388    0    0     0     0   61  396  0  0 100  0  0
 0  0      0 2812332   2828 272388    0    0     0     0   68  399  0  0 100  0  0
 0  0      0 2812332   2828 272388    0    0     0     0   77  408  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0    20   82  436  0  0 99  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   65  397  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   67  398  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   53  367  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   64  389  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   67  404  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2810304   2836 272388    0    0     0     0   64  416  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   70  404  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   63  402  0  0 99  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   67  406  0  0 100  0  0
 0  0      0 2810304   2836 272388    0    0     0     0   86  408  0  0 100  0  0
 0  0      0 2812412   2836 272388    0    0     0     0   65  396  0  0 100  0  0
 0  0      0 2812412   2836 272388    0    0     0     0   68  411  0  0 99  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   72  407  0  0 100  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   66  407  0  0 100  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   65  399  0  0 100  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   65  393  0  0 100  0  0
 1  0      0 2812348   2836 272388    0    0     0     0   58  382  0  0 100  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   57  384  0  0 100  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   60  399  0  0 100  0  0
 0  0      0 2812348   2836 272388    0    0     0     0   67  400  0  0 100  0  0
 0  0      0 2810320   2836 272388    0    0     0     0   66  408  0  0 100  0  0
 0  0      0 2810320   2836 272388    0    0     0     0   68  404  0  0 100  0  0
 0  0      0 2810320   2836 272388    0    0     0     0   63  398  0  0 100  0  0
 0  0      0 2810320   2836 272388    0    0     0   188   71  421  0  0 99  0  0
 0  0      0 2810320   2836 272388    0    0     0     0   64  396  0  0 100  0  0
 0  0      0 2810320   2836 272388    0    0     0     0   46  348  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2812584   2836 272388    0    0     0     0   69  406  0  0 100  0  0
 0  0      0 2812640   2836 272388    0    0     0     0   69  403  0  0 100  0  0
 0  0      0 2812640   2836 272388    0    0     0     0   69  409  0  0 100  0  0
 0  0      0 2812640   2836 272388    0    0     0     0   70  413  0  0 100  0  0
 0  0      0 2810612   2836 272388    0    0     0     0   71  400  0  0 100  0  0
 0  0      0 2810612   2836 272388    0    0     0     0   63  383  0  0 100  0  0
 0  0      0 2810864   2836 272388    0    0     0     0   47  354  0  0 100  0  0
 0  0      0 2810864   2836 272388    0    0     0     0   62  389  0  0 100  0  0
 0  0      0 2812932   2836 272388    0    0     0     0   66  392  0  0 100  0  0
 0  0      0 2812932   2836 272388    0    0     0     0   65  399  0  0 100  0  0
 0  0      0 2812932   2836 272388    0    0     0     0   64  400  0  0 100  0  0
 0  0      0 2812932   2836 272388    0    0     0     0   64  405  0  0 100  0  0
 0  0      0 2812932   2836 272388    0    0     0     0   63  388  0  0 100  0  0
 0  0      0 2812932   2836 272388    0    0     0     0   64  391  0  0 100  0  0
 0  0      0 2812972   2836 272388    0    0     0     0   50  369  0  0 100  0  0
 0  0      0 2812972   2836 272388    0    0     0     0   69  402  0  0 99  0  0
 0  0      0 2812972   2836 272388    0    0     0     0   66  399  0  0 100  0  0
 0  0      0 2812940   2836 272388    0    0     0     0   69  408  0  0 99  0  0
 0  0      0 2812940   2836 272388    0    0     0     0   66  410  0  0 100  0  0
 0  0      0 2812688   2836 272388    0    0     0     0   67  401  0  0 100  0  0
 0  0      0 2812688   2836 272388    0    0     0     0   66  397  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2812688   2836 272388    0    0     0     0   55  376  0  0 100  0  0
 0  0      0 2812688   2836 272388    0    0     0     0   64  399  0  0 100  0  0
 0  0      0 2812688   2836 272388    0    0     0     0   63  400  0  0 100  0  0
 0  0      0 2810660   2836 272388    0    0     0     0   72  423  0  0 100  0  0
 0  0      0 2812476   2836 272388    0    0     0     0   67  411  0  0 100  0  0
 0  0      0 2812476   2836 272388    0    0     0     0   66  404  0  0 100  0  0
 0  0      0 2812476   2836 272388    0    0     0     0   66  397  0  0 100  0  0
 0  0      0 2812476   2836 272388    0    0     0     0   50  366  0  0 100  0  0
 0  0      0 2812476   2836 272388    0    0     0     0   73  404  0  0 99  0  0
 0  0      0 2812224   2836 272388    0    0     0     0   64  388  0  0 100  0  0
 0  0      0 2812224   2836 272388    0    0     0     0   69  417  0  0 100  0  0
 0  0      0 2812224   2836 272388    0    0     0     0   67  405  0  0 100  0  0
 0  0      0 2812160   2836 272388    0    0     0     0   67  401  0  0 100  0  0
 0  0      0 2812160   2836 272388    0    0     0     0   75  417  0  0 99  0  0
 0  0      0 2811948   2836 272388    0    0     0     0   68  399  0  0 100  0  0
 1  0      0 2811948   2836 272388    0    0     0     0   56  372  0  0 100  0  0
 0  0      0 2811948   2836 272388    0    0     0     0   56  378  0  0 100  0  0
 0  0      0 2811948   2836 272388    0    0     0     0   64  410  0  0 100  0  0
 0  0      0 2811948   2836 272388    0    0     0     0   65  395  0  0 99  0  0
 0  0      0 2811948   2836 272388    0    0     0     0   66  393  0  0 100  0  0
 0  0      0 2811696   2836 272388    0    0     0     0   67  397  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811696   2836 272388    0    0     0     0   68  423  0  0 100  0  0
 0  0      0 2811696   2836 272388    0    0     0     0   65  387  0  0 100  0  0
 0  0      0 2811696   2836 272388    0    0     0     0   47  351  0  0 100  0  0
 0  0      0 2811720   2836 272388    0    0     0     0  103  613  0  1 99  0  0
 0  0      0 2811664   2836 272388    0    0     0     0   63  383  0  0 100  0  0
 0  0      0 2811664   2836 272388    0    0     0     0   66  408  0  0 100  0  0
 0  0      0 2811688   2836 272388    0    0     0     0   67  400  0  0 100  0  0
 0  0      0 2811940   2836 272388    0    0     0     0   74  417  0  0 99  0  0
 0  0      0 2811940   2836 272388    0    0     0     0   61  384  0  0 100  0  0
 0  0      0 2811940   2836 272388    0    0     0     0   53  375  0  0 100  0  0
 0  0      0 2811940   2836 272388    0    0     0     0   63  391  0  0 100  0  0
 0  0      0 2811940   2836 272388    0    0     0     0   67  403  0  0 100  0  0
 0  0      0 2811940   2836 272388    0    0     0     0   65  411  0  0 100  0  0
 0  0      0 2810148   2836 272388    0    0     0     0   69  420  0  0 100  0  0
 0  0      0 2810148   2836 272388    0    0     0     0   69  394  0  0 100  0  0
 0  0      0 2810148   2836 272388    0    0     0     0   62  393  0  0 100  0  0
 0  0      0 2810148   2836 272388    0    0     0     0   51  372  0  0 100  0  0
 0  0      0 2810148   2836 272388    0    0     0     0   66  395  0  0 99  0  0
 0  0      0 2810148   2836 272388    0    0     0     0   62  405  0  0 100  0  0
 0  0      0 2811968   2836 272388    0    0     0     0   66  397  0  0 99  0  0
 0  0      0 2811968   2836 272388    0    0     0     0   65  407  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811968   2836 272388    0    0     0     0   69  415  0  0 99  0  0
 0  0      0 2811968   2836 272388    0    0     0     0   63  390  0  0 99  0  0
 0  0      0 2809940   2836 272388    0    0     0     0   65  412  0  0 100  0  0
 0  0      0 2809940   2836 272388    0    0     0     0   52  361  0  0 100  0  0
 0  0      0 2810192   2836 272388    0    0     0     0   66  395  0  0 99  0  0
 0  0      0 2810192   2836 272388    0    0     0     0   65  401  0  0 100  0  0
 0  0      0 2810192   2836 272388    0    0     0     0   70  405  0  0 100  0  0
 0  0      0 2810192   2836 272388    0    0     0     0   67  407  0  0 100  0  0
 0  0      0 2810192   2836 272388    0    0     0     0   65  399  0  0 99  0  0
 0  0      0 2810192   2836 272388    0    0     0     0   67  523  0  0 100  0  0
